dataset,source,key,cosine_chatgpt,cosine_dipper_low,cosine_dipper_high,jaccard_chatgpt,recall_chatgpt,precision_chatgpt,jaccard_dipper_low,recall_dipper_low,precision_dipper_low,jaccard_dipper_high,recall_dipper_high,precision_dipper_high,jaccard_pegasus_slight,recall_pegasus_slight,precision_pegasus_slight,jaccard_pegasus_full,recall_pegasus_full,precision_pegasus_full,source_group
cmv,BigScience,cmv-308,0.9764602891800475,0.9759459875993176,0.8897166357831946,0.55,0.673469387755102,0.75,0.4696969696969697,0.6326530612244898,0.6458333333333334,0.017543859649122806,0.02040816326530612,0.1111111111111111,0.9411764705882353,0.9795918367346939,0.96,0.5636363636363636,0.6326530612244898,0.8378378378378378,LLM
cmv,BigScience,cmv-309,0.994580708346637,0.9938933339732338,0.8753057995141384,0.3157894736842105,0.42857142857142855,0.5454545454545454,0.4090909090909091,0.6428571428571429,0.5294117647058824,0.0,0.0,0.0,1.0,1.0,1.0,0.5882352941176471,0.7142857142857143,0.7692307692307693,LLM
cmv,BigScience,cmv-310,0.9797695811736246,0.976962479919061,0.9521261188700401,0.08695652173913043,0.08695652173913043,1.0,0.5483870967741935,0.7391304347826086,0.68,0.03571428571428571,0.043478260869565216,0.16666666666666666,0.9130434782608695,0.9130434782608695,1.0,0.4782608695652174,0.4782608695652174,1.0,LLM
cmv,BigScience,cmv-311,0.9831871168973803,0.9876884273323041,0.9510153614847409,0.35294117647058826,0.375,0.8571428571428571,0.6111111111111112,0.6875,0.8461538461538461,0.0,0.0,0.0,0.9375,0.9375,1.0,0.7058823529411765,0.75,0.9230769230769231,LLM
cmv,BigScience,cmv-312,0.9921514313132885,0.9959778402806162,0.9777322953434121,0.5,0.5,1.0,1.0,1.0,1.0,0.2,0.25,0.5,1.0,1.0,1.0,0.8,1.0,0.8,LLM
cmv,BigScience,cmv-313,0.7964148932697629,0.9893632360100024,0.7624425757515652,,,,,,,,,,,,,,,,LLM
cmv,BigScience,cmv-315,0.9840918647701169,0.9941482778764609,0.9618866396240227,0.5833333333333334,0.6363636363636364,0.875,0.75,0.8181818181818182,0.9,0.07692307692307693,0.09090909090909091,0.3333333333333333,0.9090909090909091,0.9090909090909091,1.0,0.6666666666666666,0.7272727272727273,0.8888888888888888,LLM
cmv,BigScience,cmv-316,0.9771646283909105,0.9963153990769898,0.8958598430306237,0.7333333333333333,0.7857142857142857,0.9166666666666666,0.8,0.8571428571428571,0.9230769230769231,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,1.0,0.6,0.6428571428571429,0.9,LLM
cmv,BigScience,cmv-317,0.9707137778228081,0.9931807889636142,0.9111205576940178,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,LLM
cmv,BigScience,cmv-318,0.9888992602787638,0.9928177253632232,0.9699705730260629,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,1.0,0.2857142857142857,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-320,0.9930591133132393,0.9966778814722648,0.926994191944461,0.2,0.25,0.5,0.16666666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.6,0.14285714285714285,0.25,0.25,LLM
cmv,BigScience,cmv-3204,0.9836869247939912,0.9835030683649859,0.9155395803342519,0.6153846153846154,0.8,0.7272727272727273,0.42857142857142855,0.6,0.6,0.07692307692307693,0.1,0.25,0.9090909090909091,1.0,0.9090909090909091,0.6363636363636364,0.7,0.875,LLM
cmv,BigScience,cmv-321,0.978775339450415,0.9920972977554949,0.9372576642262982,,,,,,,,,,,,,,,,LLM
cmv,BigScience,cmv-322,0.9469986597331121,0.9717467969056744,0.8845640183249103,0.42857142857142855,0.5,0.75,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,LLM
cmv,BigScience,cmv-323,0.9116766669200681,0.987314730215369,0.9336020876123731,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-324,0.9585893690255843,0.983676219356663,0.9026788131158112,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-325,0.9949984173033062,0.9899334027906541,0.8713581893111885,0.625,0.625,1.0,0.875,0.875,1.0,0.16666666666666666,0.25,0.3333333333333333,1.0,1.0,1.0,0.75,0.75,1.0,LLM
cmv,BigScience,cmv-327,0.9924692328503507,0.9940987723820454,0.8359250309460867,0.46153846153846156,0.5454545454545454,0.75,0.5,0.7272727272727273,0.6153846153846154,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.7272727272727273,0.8888888888888888,LLM
cmv,BigScience,cmv-328,0.9897621572782739,0.9736557420783764,0.9624581179769965,0.3333333333333333,0.5,0.5,0.42857142857142855,0.5,0.75,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-329,0.9780060175576498,0.99411122117428,0.9213261214437335,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-330,0.9528670413357163,0.9919124227504653,0.9439776106823681,0.25,0.3,0.6,0.4642857142857143,0.65,0.6190476190476191,0.0,0.0,0.0,0.9,0.9,1.0,0.75,0.75,1.0,LLM
cmv,BigScience,cmv-332,0.972468235914173,0.9884661523314022,0.9020665338980948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-333,0.9814311643154839,0.9781828041716655,0.8550849732706184,0.5945945945945946,0.6875,0.8148148148148148,0.45,0.5625,0.6923076923076923,0.027777777777777776,0.03125,0.2,0.8787878787878788,0.90625,0.9666666666666667,0.42857142857142855,0.46875,0.8333333333333334,LLM
cmv,BigScience,cmv-334,0.9803624465815152,0.9967669116390511,0.9392095514353623,0.5384615384615384,0.7,0.7,0.7272727272727273,0.8,0.8888888888888888,0.0,0.0,0.0,0.8181818181818182,0.9,0.9,0.5833333333333334,0.7,0.7777777777777778,LLM
cmv,BigScience,cmv-335,0.9760003503842932,0.9914360097852358,0.8924592902002234,0.5428571428571428,0.5757575757575758,0.9047619047619048,0.5769230769230769,0.6818181818181818,0.7894736842105263,0.0,0.0,0.0,0.8382352941176471,0.8636363636363636,0.9661016949152542,0.375,0.4090909090909091,0.8181818181818182,LLM
cmv,BigScience,cmv-336,0.956414233904455,0.983037517633088,0.9132516234081105,0.3333333333333333,0.5,0.5,0.6,0.75,0.75,0.0,0.0,0.0,0.75,0.75,1.0,0.4,0.5,0.6666666666666666,LLM
cmv,BigScience,cmv-337,0.9876349462937661,0.9957517513590871,0.9373217913805175,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,LLM
cmv,BigScience,cmv-338,0.9696232959518947,0.9918451109613005,0.8325629949482882,0.5,0.6,0.75,0.8,0.8,1.0,0.0,0.0,0.0,0.8,0.8,1.0,0.6666666666666666,0.8,0.8,LLM
